latitude,longitude,Actual_Fire,Predicted_Fire,Fire_Probability,Risk_Level
21.4279827,86.26446692,0,1,0.6687061304745907,HIGH
21.34641682,86.45212819,0,0,0.43922371933745114,MODERATE
19.76682041,84.90693374,1,1,0.6512669246015402,HIGH
21.42385357,85.46757205,1,0,0.29058005986444374,LOW
18.18614489,82.21216966,1,1,0.6909576979723608,HIGH
19.30742152,83.60114396,0,1,0.9954923495121422,HIGH
20.02769119,84.07904812,1,1,0.9392595338308822,HIGH
21.8587274,86.76644576,1,0,0.43287693348037065,MODERATE
21.23116244,86.26482811,0,0,0.28586718369951764,LOW
21.95969483,84.69546979,1,1,0.6819570777896906,HIGH
20.04233042,83.26705919,0,0,0.3351286690684807,MODERATE
17.83238656,81.50366755,0,0,0.3042499458683521,MODERATE
21.00766337,86.00979428,1,0,0.07499246361406105,LOW
20.25136862,83.10967522,0,0,0.22775944606534523,LOW
19.16207266,84.17929763,0,1,0.9457546280484619,HIGH
21.20268662,85.89436154,1,0,0.4456336215442548,MODERATE
20.01753782,83.42839839,1,1,0.664589850231605,HIGH
19.41827477,84.05353314,1,0,0.35840640392564715,MODERATE
19.96552687,84.35851336,0,1,0.7389795885744463,HIGH
21.1239924,85.094323,0,0,0.5185637977281499,MODERATE
21.41316065,85.51832554,1,1,0.6136931092338167,MODERATE
20.52706146,82.51606631,0,1,0.8677110964046123,HIGH
18.99552524,84.36363241,1,0,0.48967535182801525,MODERATE
19.74714685,82.50304128,0,1,0.607378339366044,MODERATE
21.56821251,86.31863608,0,0,0.399134253148067,MODERATE
21.43238383,86.61068045,0,0,0.34028364396854555,MODERATE
22.15579717,84.7997637,1,0,0.3888165541675659,MODERATE
20.92501839,84.47843642,0,0,0.1672870244595253,LOW
19.53478216,83.1885478,1,1,0.5828604087320701,MODERATE
19.48106337,83.97223481,1,1,0.6795806542275642,HIGH
19.91773422,83.87881219,1,1,0.7252060514299032,HIGH
20.00667099,82.12808439,1,0,0.40371320019892887,MODERATE
21.92538204,84.26670493,0,0,0.4228695767733847,MODERATE
22.14331169,84.97323165,1,1,0.5403897005747506,MODERATE
21.46544361,84.75538673,0,1,0.6642463124053046,HIGH
21.7742854,85.2283502,1,1,0.8180624157346127,HIGH
21.11510095,84.05003275,0,1,0.5706765432563223,MODERATE
21.89645585,86.16277712,0,1,0.8515815622495408,HIGH
19.74103788,83.04867918,1,0,0.5088903429012187,MODERATE
20.4424411,83.12647266,0,0,0.37252850930333703,MODERATE
20.6412412,83.29652493,0,0,0.5055660704583802,MODERATE
19.54897548,82.56026492,1,0,0.3052263534151207,MODERATE
19.75540957,83.29706449,1,1,0.5848086778960322,MODERATE
21.11438304,83.60608465,1,0,0.214608193742227,LOW
18.7761553,83.13204207,1,1,0.7310693372302802,HIGH
18.67410877,81.96019032,1,1,0.7474866203185776,HIGH
20.31317622,83.80802396,1,1,0.8240902474929155,HIGH
19.93219955,83.52909827,1,1,0.9089066677170567,HIGH
21.8471382,85.83130093,0,0,0.07948351947554662,LOW
21.21966242,85.75952724,0,0,0.1519064702067798,LOW
20.04646401,83.47582985,1,0,0.43486125362408845,MODERATE
19.26789605,84.02236403,1,1,1.0,HIGH
19.12021062,83.53745016,0,1,0.7427219673920442,HIGH
19.2978077,83.5688021,1,1,0.9489808032355913,HIGH
20.57799777,85.57869285,1,1,0.7291656809750512,HIGH
19.65937837,82.93108823,1,1,0.7436885737738301,HIGH
21.46786936,85.26509319,0,0,0.12679135803426586,LOW
20.5346999,85.79851316,0,0,0.20855800405728028,LOW
18.96498485,83.90306524,0,0,0.19114769090055336,LOW
21.56695504,86.92356219,0,0,0.5123012771320388,MODERATE
21.09003635,84.67956864,0,1,0.7732535074354812,HIGH
20.53829394,86.05893358,0,0,0.09083155167852479,LOW
21.55024233,86.13178637,0,1,0.5848288252075705,MODERATE
21.25478675,85.64310457,1,1,0.8400955239680784,HIGH
20.11976717,83.72008157,1,1,0.9227358256875928,HIGH
20.20834276,83.68675424,1,1,0.7695525410515295,HIGH
