latitude,longitude,label,temp_c,rh,wind_ms,rain_mm,NDVI,Elevation,Slope,Month,DayOfYear
19.87208194,83.57985622,1,28.649,37.966,2.113,0.003,0.551,607,7.112,4,104
19.11274163,82.80248329,1,29.435,34.373,0.409,0.001,0.41,756,5.941,4,105
20.25027168,83.69085662,1,32.75,34.874,2.083,0.02,0.464,736,12.01,4,110
19.51039088,83.22638773,1,30.691,39.965,2.017,0.869,0.387,789,31.827,4,111
18.0408317,81.9008709,1,30.98,50.95,0.92,0.017,0.463,634,14.433,4,112
19.86709221,83.69451754,1,31.856,33.632,1.259,0.049,0.501,773,14.585,4,112
19.90470919,83.54550776,1,32.281,26.644,0.359,0.001,0.576,802,8.344,4,116
21.69066834,85.13437019,1,31.09,57.472,1.337,0.107,0.659,374,21.39,5,132
21.68562956,85.14124166,1,31.09,57.472,1.337,0.107,0.502,528,17.199,5,132
18.95717251,84.33876846,1,30.514,68.579,1.299,0.478,0.775,723,22.575,5,136
19.30345738,83.33586312,1,33.972,41.163,0.933,0.001,0.506,454,15.702,5,136
19.81907215,83.5941298,1,34.309,36.216,0.158,0.025,0.539,590,24.117,5,136
19.81958941,83.5824202,1,34.309,36.216,0.158,0.025,0.455,593,17.679,5,136
21.51374013,85.3824389,1,31.36,67.809,1.363,2.861,0.581,711,15.946,5,137
17.92045827,82.63780423,1,24.014,52.017,1.558,0.135,0.517,909,13.216,2,56
19.18343176,84.00644504,1,27.687,56.17,1.366,0.004,0.466,424,12.678,3,86
19.77927022,83.23291586,1,31.071,31.311,0.273,0.002,0.522,479,17.127,3,89
19.77927913,83.22991934,1,31.071,31.311,0.273,0.002,0.493,480,21.597,3,89
19.5859013,83.36502119,1,28.553,48.62,1.506,2.309,0.675,764,19.33,4,94
19.584189,83.36469121,1,28.553,48.62,1.506,2.309,0.621,718,16.441,4,94
19.52061114,83.37512997,1,28.364,52.735,1.513,3.049,0.557,601,13.235,4,94
19.72829823,83.10521612,1,28.992,43.567,1.433,0.416,0.383,466,12.225,4,99
19.88912909,83.50517073,1,29.031,44.582,0.969,0.473,0.514,736,31.297,4,100
18.75237937,83.81799451,1,28.541,69.324,1.939,1.282,0.606,367,22.943,5,121
21.72256875,85.16103561,1,29.915,54.399,0.971,0.705,0.72,414,14.624,5,133
19.8476104,83.94921247,1,28.818,61.46,0.966,2.966,0.735,1057,36.335,5,142
19.18023904,84.00459451,1,29.395,49.984,1.209,0.002,0.632,609,16.143,4,93
17.90344234,81.89955992,1,27.802,46.147,0.916,0.013,0.537,960,10.097,4,107
18.08363015,81.96320467,1,29.997,47.965,0.911,0.101,0.564,661,7.36,4,108
19.88343036,83.90215112,1,29.538,56.217,1.789,0.026,0.783,792,9.935,5,144
